strategy,month,position,fwd_return,pnl
arbitrage_trust_price,2022-07-01,1.0,-0.04080191352086626,-0.04080191352086626
buy_hold,2022-08-01,1.0,-0.09244596848407038,-0.09244596848407038
price_math_only,2022-08-01,0.0,-0.09244596848407038,-0.0
web_sentiment_only,2022-08-01,0.0,-0.09244596848407038,-0.0
wisdom_aligned,2022-08-01,0.0,-0.09244596848407038,-0.0
arbitrage_trust_price,2022-08-01,0.0,-0.09244596848407038,-0.0
buy_hold,2022-09-01,1.0,0.0812755830062537,0.0812755830062537
price_math_only,2022-09-01,0.0,0.0812755830062537,0.0
web_sentiment_only,2022-09-01,0.0,0.0812755830062537,0.0
wisdom_aligned,2022-09-01,0.0,0.0812755830062537,0.0
arbitrage_trust_price,2022-09-01,0.0,0.0812755830062537,0.0
buy_hold,2022-10-01,1.0,0.0555915804036935,0.0555915804036935
price_math_only,2022-10-01,1.0,0.0555915804036935,0.0555915804036935
web_sentiment_only,2022-10-01,1.0,0.0555915804036935,0.0555915804036935
wisdom_aligned,2022-10-01,1.0,0.0555915804036935,0.0555915804036935
arbitrage_trust_price,2022-10-01,1.0,0.0555915804036935,0.0555915804036935
buy_hold,2022-11-01,1.0,-0.05762825941067129,-0.05762825941067129
price_math_only,2022-11-01,1.0,-0.05762825941067129,-0.05762825941067129
web_sentiment_only,2022-11-01,1.0,-0.05762825941067129,-0.05762825941067129
wisdom_aligned,2022-11-01,1.0,-0.05762825941067129,-0.05762825941067129
arbitrage_trust_price,2022-11-01,1.0,-0.05762825941067129,-0.05762825941067129
buy_hold,2022-12-01,1.0,0.06288744700021387,0.06288744700021387
price_math_only,2022-12-01,0.0,0.06288744700021387,0.0
web_sentiment_only,2022-12-01,1.0,0.06288744700021387,0.06288744700021387
wisdom_aligned,2022-12-01,0.5,0.06288744700021387,0.031443723500106935
arbitrage_trust_price,2022-12-01,0.0,0.06288744700021387,0.0
buy_hold,2023-01-01,1.0,-0.025142733358399783,-0.025142733358399783
price_math_only,2023-01-01,1.0,-0.025142733358399783,-0.025142733358399783
web_sentiment_only,2023-01-01,0.0,-0.025142733358399783,-0.0
wisdom_aligned,2023-01-01,0.5,-0.025142733358399783,-0.012571366679199891
arbitrage_trust_price,2023-01-01,0.5,-0.025142733358399783,-0.012571366679199891
buy_hold,2023-02-01,1.0,0.03707777936129242,0.03707777936129242
price_math_only,2023-02-01,0.0,0.03707777936129242,0.0
web_sentiment_only,2023-02-01,0.0,0.03707777936129242,0.0
wisdom_aligned,2023-02-01,0.0,0.03707777936129242,0.0
arbitrage_trust_price,2023-02-01,0.0,0.03707777936129242,0.0
buy_hold,2023-03-01,1.0,0.01597492522986066,0.01597492522986066
price_math_only,2023-03-01,1.0,0.01597492522986066,0.01597492522986066
web_sentiment_only,2023-03-01,1.0,0.01597492522986066,0.01597492522986066
wisdom_aligned,2023-03-01,1.0,0.01597492522986066,0.01597492522986066
arbitrage_trust_price,2023-03-01,1.0,0.01597492522986066,0.01597492522986066
buy_hold,2023-04-01,1.0,0.004616080799331845,0.004616080799331845
price_math_only,2023-04-01,1.0,0.004616080799331845,0.004616080799331845
web_sentiment_only,2023-04-01,1.0,0.004616080799331845,0.004616080799331845
wisdom_aligned,2023-04-01,1.0,0.004616080799331845,0.004616080799331845
arbitrage_trust_price,2023-04-01,1.0,0.004616080799331845,0.004616080799331845
buy_hold,2023-05-01,1.0,0.06479972635087883,0.06479972635087883
price_math_only,2023-05-01,1.0,0.06479972635087883,0.06479972635087883
web_sentiment_only,2023-05-01,1.0,0.06479972635087883,0.06479972635087883
wisdom_aligned,2023-05-01,1.0,0.06479972635087883,0.06479972635087883
arbitrage_trust_price,2023-05-01,1.0,0.06479972635087883,0.06479972635087883
buy_hold,2023-06-01,1.0,0.03273340072323205,0.03273340072323205
price_math_only,2023-06-01,1.0,0.03273340072323205,0.03273340072323205
